Pak	rest	PROPN
is	en	VERB
in	en	ADP
confused	en	ADJ
state	en	NOUN
of	en	ADP
mind	en	VERB
.	rest	X
#SurgicalStrike	rest	X
hui	hi	VERB
ya	hi	CONJ
nahi	hi	PART_NEG
is	hi	DET
par	hi	ADP
contradictory	en	NOUN
statements	en	NOUN
aa	hi	VERB
rahe	hi	VERB
hain	hi	VERB
.	rest	X
Nahi	hi	PART_NEG
huyi	hi	PART
to	hi	PART
tension	en	NOUN
mai	hi	ADP
kyon	hi	PRON_WH
?	rest	X
		
@ncpspeaks	rest	X
former	en	ADJ
Gen	en	NOUN
.	rest	X
V	rest	PROPN
P	rest	PROPN
Malik	rest	PROPN
aur	hi	CONJ
DGMO	rest	PROPN
Vinod	rest	PROPN
Bhatiya	rest	PROPN
ne	hi	ADP
kaha	hi	PRON_WH
ki	hi	ADP
pahle	hi	ADV
kabhi	hi	ADV
#SurgicalStrike	rest	X
huyi	hi	PART
hi	hi	PART
nahi	hi	PART_NEG
Jhootha	hi	PART
kaun	hi	PRON_WH
?	rest	X
@pawarspeaks	rest	X
		
Anyone	en	PRON
heard	en	VERB
of	en	ADP
hafiz	rest	PROPN
saeed	rest	PROPN
,	rest	X
salahuddin	rest	PROPN
or	hi	CONJ
masood	rest	PROPN
azhar	rest	PROPN
?	rest	X
or	en	CONJ
has	en	VERB
@AsimBajwaISPR	rest	X
relocated	en	VERB
them	en	PRON
to	en	PART
a	en	DET
safe	en	ADJ
place	en	NOUN
?	rest	X
Away	en	ADV
from	en	ADP
IA	rest	PROPN
?	rest	X
#SurgicalStrike	rest	X
		
@ArvindKejriwal	rest	X
Worldwide	en	NOUN
#SurgicalStrike	rest	X
vdo	en	NOUN
collect	en	VERB
kar	hi	VERB
rahe	hi	VERB
hain	hi	VERB
shayad	hi	NOUN
Sirjee	rest	X
if	en	CONJ
VDO	rest	PROPN
na	hi	PART_NEG
mile	hi	VERB
na	hi	PART_NEG
Pls	en	ADV
do	en	VERB
collect	en	NOUN
postal	en	ADJ
stamp	en	NOUN
Good	en	ADJ
Hobby	en	NOUN
		
RT	en	X
@UsmanAQayyum	rest	X
:	rest	X
Pak	rest	PROPN
:	rest	X
Acha	hi	ADJ
Dikao	hi	PART
Zara	hi	PART
Saboot	hi	NOUN
Ind	rest	PROPN
:	rest	X
#SurgicalStrike	rest	X
Pak	rest	PROPN
:	rest	X
Hm	hi	PRON
.	rest	X
Mmmmm	en	ADJ
Ind	en	ADJ
:	rest	X
Promise	en	VERB
Kro	hi	VERB
Saboot	hi	NOUN
Dekh	hi	VERB
K	hi	ADP
Delete	en	NOUN
Kr	hi	VERB
Do	hi	VERB
Gye	hi	VERB
.	rest	X
#WellDone	rest	X
		
All	en	DET
Netas	rest	NOUN
demanding	en	VERB
proof	en	NOUN
of	en	ADP
#SurgicalStrike	rest	X
,	rest	X
we	en	PRON
want	en	VERB
proof	en	NOUN
ki	hi	ADP
aap	hi	PRON
apne	hi	PRON
baap	hi	NOUN
ki	hi	ADP
sagi	hi	NOUN
aulaad	hi	NOUN
ho	hi	VERB
#Shame	rest	X
on	en	ADP
idiots	en	ADJ
who	en	PRON_WH
voted	en	VERB
these	en	DET
bastards	en	NOUN
		
RT	en	X
@MK7786	rest	X
:	rest	X
@oblmir	rest	X
Awkward	en	ADJ
moment	en	NOUN
is	en	VERB
pak	rest	PROPN
army	en	NOUN
denying	en	VERB
any	en	DET
attacks	en	NOUN
but	en	CONJ
pak	rest	PROPN
govt	en	NOUN
condemned	en	VERB
#SurgicalStrike	rest	X
..	rest	X
Saalo	hi	NOUN
decide	en	VERB
kar	hi	VERB
lo	hi	VERB
kya	hi	PRON_WH
hua	hi	VERB
hai	hi	VERB
		
RT	en	X
@Grey_2994	rest	X
:	rest	X
Lagany	hi	PROPN
aag	hi	NOUN
jo	hi	PRON
aye	hi	VERB
thy	hi	VERB
aashiyany	hi	NOUN
ko	hi	ADP
Wo	hi	PRON
sholay	hi	NOUN
apny	hi	PRON
lahu	hi	NOUN
c	rest	X
,	rest	X
bhuja	hi	PART
diye	hi	PART
tum	hi	PRON
ny	hi	PART
!	rest	X
#WellDonePakArmy	rest	X
#RIP	rest	X
#SurgicalStrike	rest	X
https://t	rest	X
		
Now	en	ADV
dirty	en	ADJ
politics	en	NOUN
start	en	VERB
on	en	ADP
#SurgicalStrike	rest	X
..	rest	X
hamre	hi	PART
desh	hi	NOUN
ke	hi	ADP
kuch	hi	DET
Neta	hi	NOUN
nhi	hi	PART_NEG
sudhrenge	en	NOUN
.	rest	X
everyday	en	NOUN
need	en	VERB
media	en	NOUN
attention	en	NOUN
.	rest	X
Foket	hi	VERB
me	hi	ADP
limelight	en	NOUN
		
JO	hi	PRON
TERRORIST	en	NOUN
THE	en	DET
UN	hi	PRON
K	hi	ADP
KHILAAF	hi	ADP
KAMYAB	hi	NOUN
#SurgicalStrike	rest	X
HUI	hi	VERB
,	rest	X
TERRORIST	en	NOUN
AUR	hi	CONJ
ARTIST	en	NOUN
MEI	hi	ADP
FARQ	hi	DET
RAKHO	hi	VERB
.	rest	X
-	rest	X
@BeingSalmanKhan	rest	X
(	rest	X
CORRECT	en	ADJ
KAHA	hi	PRON_WH
)	rest	X
		
RT	rest	X
@iihtishamm	rest	X
:	rest	X
Coward	en	ADJ
#Indians	rest	X
didn't	en	VERB
come	en	VERB
to	en	PART
Wahga	rest	PROPN
today	en	ADV
,	rest	X
Yar	hi	NOUN
aj	hi	ADV
to	hi	PART
ana	hi	VERB
banta	hi	NOUN
ta	hi	ADP
#SurgicalStrike	rest	X
ki	hi	ADP
khoshi	hi	NOUN
may	hi	VERB
#PakistanZindabad	rest	X
htt	rest	X
		
@aakriti0720	rest	X
@Mehreen_Sibtain	rest	X
#SurgicalStrike	rest	X
en	hi	VERB
k	hi	ADP
nervous	en	ADJ
system	en	NOUN
pe	hi	ADP
ho	hi	VERB
gaya	hi	VERB
hai	hi	VERB
apny	hi	PRON
beloved	en	ADJ
army	en	NOUN
k	hi	ADP
uniform	en	NOUN
he	hi	VERB
bhool	hi	VERB
gaye	hi	VERB
.	rest	X
Ban	hi	VERB
gye	hi	VERB
chutiye	hi	NOUN
		
G	hi	PART
mre	hi	ADJ
Bharat	hi	PROPN
k	hi	ADP
Bhaio	hi	NOUN
,	rest	X
chuna	hi	NOUN
lga	hi	VERB
dia	hi	VERB
na	hi	PART_NEG
,	rest	X
Bollywood	en	PROPN
se	hi	ADP
bhar	hi	ADJ
ao	hi	PART
.	rest	X
#SurgicalStrike	rest	X
..	rest	X
1	rest	NUM
thing	en	NOUN
V	rest	PROPN
both	en	PRON
PK	rest	PROPN
n	en	CONJ
India	rest	PROPN
shud	en	VERB
stop	en	VERB
electing	en	ADJ
cartoons	en	NOUN
as	en	ADP
PM	rest	PROPN
.	rest	X
https://t.co/ka3D35NxRO	rest	X
		
Though	en	ADV
i	en	PRON
am	en	VERB
against	en	ADP
of	en	ADP
any	en	DET
kind	en	NOUN
of	en	ADP
war	en	NOUN
.	rest	X
Lekin	hi	CONJ
bachhe	hi	NOUN
ko	hi	ADP
sudharne	hi	VERB
ke	hi	ADP
lye	hi	NOUN
ek	hi	NUM
do	hi	VERB
thappad	hi	NOUN
bahut	hi	ADV
jaruri	hi	VERB
hai	hi	VERB
.	rest	X
Warna	hi	CONJ
bigad	hi	DET
jaega	hi	NOUN
.	rest	X
#SurgicalStrike	rest	X
		
RT	rest	X
@pakhishukla21	rest	X
:	rest	X
Hey	en	VERB
